№,Дата и время (UTC),Ракета,Площадка,Успех
1,2006-03-24T22:30:00.000Z,Falcon 1,Kwajalein Atoll,False
2,2007-03-21T01:10:00.000Z,Falcon 1,Kwajalein Atoll,False
3,2008-08-03T03:34:00.000Z,Falcon 1,Kwajalein Atoll,False
4,2008-09-28T23:15:00.000Z,Falcon 1,Kwajalein Atoll,True
5,2009-07-13T03:35:00.000Z,Falcon 1,Kwajalein Atoll,True
6,2010-06-04T18:45:00.000Z,Falcon 9,CCSFS SLC 40,True
7,2010-12-08T15:43:00.000Z,Falcon 9,CCSFS SLC 40,True
8,2012-05-22T07:44:00.000Z,Falcon 9,CCSFS SLC 40,True
9,2012-10-08T00:35:00.000Z,Falcon 9,CCSFS SLC 40,True
10,2013-03-01T19:10:00.000Z,Falcon 9,CCSFS SLC 40,True
11,2013-09-29T16:00:00.000Z,Falcon 9,VAFB SLC 4E,True
12,2013-12-03T22:41:00.000Z,Falcon 9,CCSFS SLC 40,True
13,2014-01-06T18:06:00.000Z,Falcon 9,CCSFS SLC 40,True
14,2014-04-18T19:25:00.000Z,Falcon 9,CCSFS SLC 40,True
15,2014-07-14T15:15:00.000Z,Falcon 9,CCSFS SLC 40,True
16,2014-08-05T08:00:00.000Z,Falcon 9,CCSFS SLC 40,True
17,2014-09-07T05:00:00.000Z,Falcon 9,CCSFS SLC 40,True
18,2014-09-21T05:52:00.000Z,Falcon 9,CCSFS SLC 40,True
19,2015-01-10T09:47:00.000Z,Falcon 9,CCSFS SLC 40,True
20,2015-02-11T23:03:00.000Z,Falcon 9,CCSFS SLC 40,True
21,2015-03-02T03:50:00.000Z,Falcon 9,CCSFS SLC 40,True
22,2015-04-14T20:10:00.000Z,Falcon 9,CCSFS SLC 40,True
23,2015-04-27T23:03:00.000Z,Falcon 9,CCSFS SLC 40,True
24,2015-06-28T14:21:00.000Z,Falcon 9,CCSFS SLC 40,False
25,2015-12-22T01:29:00.000Z,Falcon 9,CCSFS SLC 40,True
26,2016-01-17T15:42:00.000Z,Falcon 9,VAFB SLC 4E,True
27,2016-03-04T23:35:00.000Z,Falcon 9,CCSFS SLC 40,True
28,2016-04-08T20:43:00.000Z,Falcon 9,CCSFS SLC 40,True
29,2016-05-06T05:21:00.000Z,Falcon 9,CCSFS SLC 40,True
30,2016-05-27T21:39:00.000Z,Falcon 9,CCSFS SLC 40,True
31,2016-06-15T14:29:00.000Z,Falcon 9,CCSFS SLC 40,True
32,2016-07-18T04:45:00.000Z,Falcon 9,CCSFS SLC 40,True
33,2016-08-14T05:26:00.000Z,Falcon 9,CCSFS SLC 40,True
34,2016-09-01T13:07:00.000Z,Falcon 9,CCSFS SLC 40,False
35,2017-01-14T17:54:00.000Z,Falcon 9,VAFB SLC 4E,True
36,2017-02-19T14:39:00.000Z,Falcon 9,KSC LC 39A,True
37,2017-03-16T06:00:00.000Z,Falcon 9,KSC LC 39A,True
38,2017-03-30T22:27:00.000Z,Falcon 9,KSC LC 39A,True
39,2017-05-01T11:15:00.000Z,Falcon 9,KSC LC 39A,True
40,2017-05-15T23:21:00.000Z,Falcon 9,KSC LC 39A,True
41,2017-06-03T21:07:00.000Z,Falcon 9,KSC LC 39A,True
42,2017-06-23T19:10:00.000Z,Falcon 9,KSC LC 39A,True
43,2017-06-25T20:25:00.000Z,Falcon 9,VAFB SLC 4E,True
44,2017-07-05T23:35:00.000Z,Falcon 9,KSC LC 39A,True
45,2017-08-14T16:31:00.000Z,Falcon 9,KSC LC 39A,True
46,2017-08-24T18:50:00.000Z,Falcon 9,VAFB SLC 4E,True
47,2017-09-07T13:50:00.000Z,Falcon 9,KSC LC 39A,True
48,2017-10-09T12:37:00.000Z,Falcon 9,VAFB SLC 4E,True
49,2017-10-11T22:53:00.000Z,Falcon 9,KSC LC 39A,True
50,2017-10-30T19:34:00.000Z,Falcon 9,KSC LC 39A,True
51,2017-12-15T15:36:00.000Z,Falcon 9,CCSFS SLC 40,True
52,2017-12-23T01:27:23.000Z,Falcon 9,VAFB SLC 4E,True
53,2018-01-08T01:00:00.000Z,Falcon 9,CCSFS SLC 40,True
54,2018-01-31T21:25:00.000Z,Falcon 9,CCSFS SLC 40,True
55,2018-02-06T20:45:00.000Z,Falcon Heavy,KSC LC 39A,True
56,2018-02-22T14:17:00.000Z,Falcon 9,VAFB SLC 4E,True
57,2018-03-06T05:33:00.000Z,Falcon 9,CCSFS SLC 40,True
58,2018-03-30T14:13:51.000Z,Falcon 9,VAFB SLC 4E,True
59,2018-04-02T20:30:41.000Z,Falcon 9,CCSFS SLC 40,True
60,2018-04-18T22:51:00.000Z,Falcon 9,CCSFS SLC 40,True
61,2018-05-11T20:14:00.000Z,Falcon 9,KSC LC 39A,True
62,2018-05-22T19:47:58.000Z,Falcon 9,VAFB SLC 4E,True
63,2018-06-04T04:45:00.000Z,Falcon 9,CCSFS SLC 40,True
64,2018-06-29T09:42:00.000Z,Falcon 9,CCSFS SLC 40,True
65,2018-07-22T05:50:00.000Z,Falcon 9,CCSFS SLC 40,True
66,2018-07-25T11:39:26.000Z,Falcon 9,VAFB SLC 4E,True
67,2018-08-07T05:18:00.000Z,Falcon 9,CCSFS SLC 40,True
68,2018-09-10T04:45:00.000Z,Falcon 9,CCSFS SLC 40,True
69,2018-10-08T02:22:00.000Z,Falcon 9,VAFB SLC 4E,True
70,2018-11-15T20:46:00.000Z,Falcon 9,KSC LC 39A,True
71,2018-12-03T18:34:00.000Z,Falcon 9,VAFB SLC 4E,True
72,2018-12-05T18:16:00.000Z,Falcon 9,CCSFS SLC 40,True
73,2018-12-23T13:51:00.000Z,Falcon 9,CCSFS SLC 40,True
74,2019-01-11T15:31:00.000Z,Falcon 9,VAFB SLC 4E,True
75,2019-02-22T01:45:00.000Z,Falcon 9,CCSFS SLC 40,True
76,2019-03-02T07:45:00.000Z,Falcon 9,KSC LC 39A,True
77,2019-04-11T22:35:00.000Z,Falcon Heavy,KSC LC 39A,True
78,2019-05-04T06:48:00.000Z,Falcon 9,CCSFS SLC 40,True
79,2019-05-24T02:30:00.000Z,Falcon 9,CCSFS SLC 40,True
80,2019-06-12T14:17:00.000Z,Falcon 9,VAFB SLC 4E,True
81,2019-06-25T03:30:00.000Z,Falcon Heavy,KSC LC 39A,True
82,2019-07-25T22:01:00.000Z,Falcon 9,CCSFS SLC 40,True
83,2019-08-06T22:52:00.000Z,Falcon 9,CCSFS SLC 40,True
84,2019-11-11T14:56:00.000Z,Falcon 9,CCSFS SLC 40,True
85,2019-12-05T17:29:23.000Z,Falcon 9,CCSFS SLC 40,True
86,2019-12-17T00:10:00.000Z,Falcon 9,CCSFS SLC 40,True
87,2020-01-07T02:19:00.000Z,Falcon 9,CCSFS SLC 40,True
88,2020-01-19T14:00:00.000Z,Falcon 9,KSC LC 39A,True
89,2020-01-29T14:06:00.000Z,Falcon 9,CCSFS SLC 40,True
90,2020-02-17T15:05:55.000Z,Falcon 9,CCSFS SLC 40,True
91,2020-03-07T04:50:31.000Z,Falcon 9,CCSFS SLC 40,True
92,2020-03-18T12:16:00.000Z,Falcon 9,KSC LC 39A,True
93,2020-04-22T19:30:00.000Z,Falcon 9,KSC LC 39A,True
94,2020-05-30T19:22:00.000Z,Falcon 9,KSC LC 39A,True
95,2020-06-04T01:25:00.000Z,Falcon 9,CCSFS SLC 40,True
96,2020-06-13T09:21:00.000Z,Falcon 9,CCSFS SLC 40,True
97,2020-06-30T19:55:00.000Z,Falcon 9,CCSFS SLC 40,True
98,2020-07-20T21:30:00.000Z,Falcon 9,CCSFS SLC 40,True
99,2020-08-07T05:12:00.000Z,Falcon 9,KSC LC 39A,True
100,2020-08-18T14:31:00.000Z,Falcon 9,CCSFS SLC 40,True
101,2020-08-30T23:18:00.000Z,Falcon 9,CCSFS SLC 40,True
102,2020-09-03T12:46:00.000Z,Falcon 9,KSC LC 39A,True
103,2020-10-06T11:29:00.000Z,Falcon 9,KSC LC 39A,True
104,2020-10-18T12:25:00.000Z,Falcon 9,KSC LC 39A,True
105,2020-10-24T15:31:00.000Z,Falcon 9,CCSFS SLC 40,True
106,2020-11-05T23:24:00.000Z,Falcon 9,CCSFS SLC 40,True
107,2020-11-16T00:27:00.000Z,Falcon 9,KSC LC 39A,True
108,2020-11-21T17:17:00.000Z,Falcon 9,VAFB SLC 4E,True
109,2020-11-25T02:13:00.000Z,Falcon 9,CCSFS SLC 40,True
110,2020-12-06T16:17:00.000Z,Falcon 9,KSC LC 39A,True
111,2020-12-13T17:30:00.000Z,Falcon 9,CCSFS SLC 40,True
112,2020-12-19T14:00:00.000Z,Falcon 9,KSC LC 39A,True
113,2021-01-08T02:15:00.000Z,Falcon 9,CCSFS SLC 40,True
114,2021-01-20T13:02:00.000Z,Falcon 9,KSC LC 39A,True
115,2021-01-24T15:00:00.000Z,Falcon 9,CCSFS SLC 40,True
116,2021-02-04T06:19:00.000Z,Falcon 9,CCSFS SLC 40,True
117,2021-02-16T03:59:00.000Z,Falcon 9,CCSFS SLC 40,True
118,2021-03-04T08:24:00.000Z,Falcon 9,KSC LC 39A,True
119,2021-03-11T08:13:00.000Z,Falcon 9,CCSFS SLC 40,True
120,2021-03-14T10:01:00.000Z,Falcon 9,KSC LC 39A,True
121,2021-03-24T08:28:00.000Z,Falcon 9,CCSFS SLC 40,True
122,2021-04-07T16:34:00.000Z,Falcon 9,CCSFS SLC 40,True
123,2021-04-23T09:49:00.000Z,Falcon 9,KSC LC 39A,True
124,2021-04-29T03:44:00.000Z,Falcon 9,CCSFS SLC 40,True
125,2021-05-04T19:01:00.000Z,Falcon 9,KSC LC 39A,True
126,2021-05-09T06:42:00.000Z,Falcon 9,CCSFS SLC 40,True
127,2021-05-15T22:54:00.000Z,Falcon 9,KSC LC 39A,True
128,2021-05-26T18:59:00.000Z,Falcon 9,CCSFS SLC 40,True
129,2021-06-03T17:29:00.000Z,Falcon 9,KSC LC 39A,True
130,2021-06-06T04:26:00.000Z,Falcon 9,CCSFS SLC 40,True
131,2021-06-17T16:09:00.000Z,Falcon 9,CCSFS SLC 40,True
132,2021-06-30T19:31:00.000Z,Falcon 9,CCSFS SLC 40,True
133,2021-08-29T07:14:00.000Z,Falcon 9,KSC LC 39A,True
134,2021-09-14T03:55:00.000Z,Falcon 9,VAFB SLC 4E,True
135,2021-09-16T00:02:00.000Z,Falcon 9,KSC LC 39A,True
136,2021-11-11T02:03:00.000Z,Falcon 9,KSC LC 39A,True
137,2021-11-13T12:40:00.000Z,Falcon 9,CCSFS SLC 40,True
138,2021-11-24T06:20:00.000Z,Falcon 9,VAFB SLC 4E,True
139,2021-12-01T23:20:00.000Z,Falcon 9,CCSFS SLC 40,True
140,2021-12-09T06:00:00.000Z,Falcon 9,KSC LC 39A,True
141,2021-12-18T12:41:40.000Z,Falcon 9,VAFB SLC 4E,True
142,2021-12-19T03:58:00.000Z,Falcon 9,CCSFS SLC 40,True
143,2021-12-21T10:06:00.000Z,Falcon 9,KSC LC 39A,True
144,2022-01-06T21:49:00.000Z,Falcon 9,KSC LC 39A,True
145,2022-01-13T15:25:00.000Z,Falcon 9,CCSFS SLC 40,True
146,2022-01-19T00:04:00.000Z,Falcon 9,KSC LC 39A,True
147,2022-01-31T23:11:12.000Z,Falcon 9,CCSFS SLC 40,True
148,2022-02-02T20:18:00.000Z,Falcon 9,VAFB SLC 4E,True
149,2022-02-03T18:13:00.000Z,Falcon 9,KSC LC 39A,True
150,2022-02-21T14:44:00.000Z,Falcon 9,CCSFS SLC 40,True
151,2022-02-25T17:12:00.000Z,Falcon 9,VAFB SLC 4E,True
152,2022-03-03T14:35:00.000Z,Falcon 9,KSC LC 39A,True
153,2022-03-09T13:45:00.000Z,Falcon 9,CCSFS SLC 40,True
154,2022-03-19T03:24:00.000Z,Falcon 9,CCSFS SLC 40,True
155,2022-04-01T16:24:00.000Z,Falcon 9,CCSFS SLC 40,True
156,2022-04-08T15:17:00.000Z,Falcon 9,KSC LC 39A,True
157,2022-04-17T13:13:00.000Z,Falcon 9,VAFB SLC 4E,True
158,2022-04-21T15:16:00.000Z,Falcon 9,CCSFS SLC 40,True
159,2022-04-27T07:52:00.000Z,Falcon 9,KSC LC 39A,True
160,2022-04-29T21:27:00.000Z,Falcon 9,CCSFS SLC 40,True
161,2022-05-06T09:42:00.000Z,Falcon 9,KSC LC 39A,True
162,2022-05-13T22:07:00.000Z,Falcon 9,VAFB SLC 4E,True
163,2022-05-14T20:40:00.000Z,Falcon 9,CCSFS SLC 40,True
164,2022-05-18T10:40:00.000Z,Falcon 9,KSC LC 39A,True
165,2022-05-25T18:27:00.000Z,Falcon 9,CCSFS SLC 40,True
166,2022-06-01T17:08:50.000Z,Falcon 9,KSC LC 39A,True
167,2022-06-08T21:04:00.000Z,Falcon 9,CCSFS SLC 40,True
168,2022-06-18T14:19:00.000Z,Falcon 9,VAFB SLC 4E,True
169,2022-06-19T04:27:00.000Z,Falcon 9,CCSFS SLC 40,True
170,2022-06-29T21:04:00.000Z,Falcon 9,CCSFS SLC 40,True
171,2022-07-07T13:11:00.000Z,Falcon 9,CCSFS SLC 40,True
172,2022-07-11T01:39:00.000Z,Falcon 9,VAFB SLC 4E,
173,2022-07-15T00:44:00.000Z,Falcon 9,KSC LC 39A,True
174,2022-07-17T14:50:00.000Z,Falcon 9,CCSFS SLC 40,True
175,2022-07-21T17:13:00.000Z,Falcon 9,VAFB SLC 4E,True
176,2022-07-24T00:00:00.000Z,Falcon 9,CCSFS SLC 40,True
177,2022-08-04T23:08:00.000Z,Falcon 9,CCSFS SLC 40,True
178,2022-08-09T22:57:00.000Z,Falcon 9,KSC LC 39A,True
179,2022-08-12T21:30:00.000Z,Falcon 9,VAFB SLC 4E,True
180,2022-08-19T19:24:00.000Z,Falcon 9,CCSFS SLC 40,True
181,2022-08-28T02:22:00.000Z,Falcon 9,KSC LC 39A,True
182,2022-08-31T05:40:00.000Z,Falcon 9,VAFB SLC 4E,True
183,2022-09-05T02:09:00.000Z,Falcon 9,CCSFS SLC 40,True
184,2022-09-11T01:10:00.000Z,Falcon 9,KSC LC 39A,True
185,2022-09-17T01:05:00.000Z,Falcon 9,CCSFS SLC 40,True
186,2022-09-24T23:30:00.000Z,Falcon 9,CCSFS SLC 40,True
187,2022-10-05T16:00:00.000Z,Falcon 9,KSC LC 39A,True
188,2022-10-08T23:05:00.000Z,Falcon 9,CCSFS SLC 40,
189,2022-10-15T05:22:00.000Z,Falcon 9,CCSFS SLC 40,
190,2022-10-20T14:50:00.000Z,Falcon 9,CCSFS SLC 40,
191,2022-11-01T00:00:00.000Z,Falcon 9,CCSFS SLC 40,
192,2022-11-01T00:00:00.000Z,Falcon 9,CCSFS SLC 40,
193,2022-11-01T00:00:00.000Z,Falcon 9,CCSFS SLC 40,
194,2022-11-01T13:41:00.000Z,Falcon Heavy,KSC LC 39A,
195,2022-11-03T03:24:00.000Z,Falcon 9,CCSFS SLC 40,
196,2022-11-08T00:00:00.000Z,Falcon 9,CCSFS SLC 40,
197,2022-11-15T00:00:00.000Z,Falcon 9,CCSFS SLC 40,
198,2022-11-18T22:00:00.000Z,Falcon 9,KSC LC 39A,
199,2022-11-22T00:00:00.000Z,Falcon 9,CCSFS SLC 40,
200,2022-12-01T00:00:00.000Z,Falcon 9,CCSFS SLC 40,
201,2022-12-01T00:00:00.000Z,Falcon 9,VAFB SLC 4E,
202,2022-12-01T00:00:00.000Z,Falcon 9,CCSFS SLC 40,
203,2022-12-01T00:00:00.000Z,Falcon Heavy,KSC LC 39A,
204,2022-12-01T00:00:00.000Z,Falcon 9,CCSFS SLC 40,
205,2022-12-05T00:00:00.000Z,Falcon 9,VAFB SLC 4E,
206,2023-01-03T14:55:56Z,Falcon 9,Space Launch Complex 40,True
207,2023-01-10T04:50:17Z,Falcon 9,Space Launch Complex 40,True
208,2023-01-15T22:56:00Z,Falcon Heavy,Launch Complex 39A,True
209,2023-01-18T12:24:00Z,Falcon 9,Space Launch Complex 40,True
210,2023-01-19T15:43:10Z,Falcon 9,Space Launch Complex 4E,True
211,2023-01-26T09:32:20Z,Falcon 9,Space Launch Complex 40,True
212,2023-01-31T16:15:00Z,Falcon 9,Space Launch Complex 4E,True
213,2023-02-02T07:58:20Z,Falcon 9,Launch Complex 39A,True
214,2023-02-07T01:32:00Z,Falcon 9,Space Launch Complex 40,True
215,2023-02-12T05:10:10Z,Falcon 9,Space Launch Complex 40,True
216,2023-02-17T19:12:20Z,Falcon 9,Space Launch Complex 4E,True
217,2023-02-18T03:59:00Z,Falcon 9,Space Launch Complex 40,True
218,2023-02-27T23:13:50Z,Falcon 9,Space Launch Complex 40,True
219,2023-03-02T05:34:14Z,Falcon 9,Launch Complex 39A,True
220,2023-03-03T18:38:50Z,Falcon 9,Space Launch Complex 4E,True
221,2023-03-09T19:13:28Z,Falcon 9,Space Launch Complex 40,True
222,2023-03-15T00:30:42Z,Falcon 9,Launch Complex 39A,True
223,2023-03-17T19:26:40Z,Falcon 9,Space Launch Complex 4E,True
224,2023-03-17T23:38:00Z,Falcon 9,Space Launch Complex 40,True
225,2023-03-24T15:43:10Z,Falcon 9,Space Launch Complex 40,True
226,2023-03-29T20:01:00Z,Falcon 9,Space Launch Complex 40,True
227,2023-04-02T14:29:00Z,Falcon 9,Space Launch Complex 4E,True
228,2023-04-07T04:30:00Z,Falcon 9,Space Launch Complex 40,True
229,2023-04-15T06:47:39Z,Falcon 9,Space Launch Complex 4E,True
230,2023-04-19T14:31:10Z,Falcon 9,Space Launch Complex 40,True
231,2023-04-20T13:33:09Z,Starship,Orbital Launch Pad 1,False
232,2023-04-27T13:40:50Z,Falcon 9,Space Launch Complex 4E,True
233,2023-04-28T22:12:00Z,Falcon 9,Space Launch Complex 40,True
234,2023-05-01T00:26:00Z,Falcon Heavy,Launch Complex 39A,True
235,2023-05-04T07:31:00Z,Falcon 9,Space Launch Complex 40,True
236,2023-05-10T20:09:00Z,Falcon 9,Space Launch Complex 4E,True
237,2023-05-14T05:03:50Z,Falcon 9,Space Launch Complex 40,True
238,2023-05-19T06:19:30Z,Falcon 9,Space Launch Complex 40,True
239,2023-05-20T13:16:33Z,Falcon 9,Space Launch Complex 4E,True
240,2023-05-21T21:37:09Z,Falcon 9,Launch Complex 39A,True
241,2023-05-27T04:30:00Z,Falcon 9,Space Launch Complex 40,True
242,2023-05-31T06:02:30Z,Falcon 9,Space Launch Complex 4E,True
243,2023-06-04T12:20:00Z,Falcon 9,Space Launch Complex 40,True
244,2023-06-05T15:47:00Z,Falcon 9,Launch Complex 39A,True
245,2023-06-12T07:10:50Z,Falcon 9,Space Launch Complex 40,True
246,2023-06-12T21:35:00Z,Falcon 9,Space Launch Complex 4E,True
247,2023-06-18T22:21:00Z,Falcon 9,Space Launch Complex 40,True
248,2023-06-22T07:19:00Z,Falcon 9,Space Launch Complex 4E,True
249,2023-06-23T15:35:10Z,Falcon 9,Space Launch Complex 40,True
250,2023-07-01T15:12:00Z,Falcon 9,Space Launch Complex 40,True
251,2023-07-07T19:29:50Z,Falcon 9,Space Launch Complex 4E,True
252,2023-07-10T03:58:50Z,Falcon 9,Space Launch Complex 40,True
253,2023-07-16T03:50:00Z,Falcon 9,Space Launch Complex 40,True
254,2023-07-20T04:09:30Z,Falcon 9,Space Launch Complex 4E,True
255,2023-07-24T00:50:30Z,Falcon 9,Space Launch Complex 40,True
256,2023-07-28T04:01:10Z,Falcon 9,Space Launch Complex 40,True
257,2023-07-29T03:04:00Z,Falcon Heavy,Launch Complex 39A,True
258,2023-08-03T05:00:00Z,Falcon 9,Space Launch Complex 40,True
259,2023-08-07T02:41:10Z,Falcon 9,Space Launch Complex 40,True
260,2023-08-08T03:57:00Z,Falcon 9,Space Launch Complex 4E,True
261,2023-08-11T05:17:40Z,Falcon 9,Space Launch Complex 40,True
262,2023-08-17T03:36:50Z,Falcon 9,Space Launch Complex 40,True
263,2023-08-22T09:37:30Z,Falcon 9,Space Launch Complex 4E,True
264,2023-08-26T07:27:27Z,Falcon 9,Launch Complex 39A,True
265,2023-08-27T01:05:40Z,Falcon 9,Space Launch Complex 40,True
266,2023-09-01T02:21:50Z,Falcon 9,Space Launch Complex 40,True
267,2023-09-02T14:25:00Z,Falcon 9,Space Launch Complex 4E,True
268,2023-09-04T02:47:20Z,Falcon 9,Launch Complex 39A,True
269,2023-09-09T03:12:50Z,Falcon 9,Space Launch Complex 40,True
270,2023-09-12T06:57:50Z,Falcon 9,Space Launch Complex 4E,True
271,2023-09-16T03:38:20Z,Falcon 9,Space Launch Complex 40,True
272,2023-09-20T03:38:10Z,Falcon 9,Space Launch Complex 40,True
273,2023-09-24T03:38:30Z,Falcon 9,Space Launch Complex 40,True
274,2023-09-25T08:48:20Z,Falcon 9,Space Launch Complex 4E,True
275,2023-09-30T02:00:00Z,Falcon 9,Space Launch Complex 40,True
276,2023-10-05T05:36:30Z,Falcon 9,Space Launch Complex 40,True
277,2023-10-09T07:43:00Z,Falcon 9,Space Launch Complex 4E,True
278,2023-10-13T14:19:43Z,Falcon Heavy,Launch Complex 39A,True
279,2023-10-13T23:01:10Z,Falcon 9,Space Launch Complex 40,True
280,2023-10-18T00:39:00Z,Falcon 9,Space Launch Complex 40,True
281,2023-10-21T08:23:00Z,Falcon 9,Space Launch Complex 4E,True
282,2023-10-22T02:17:00Z,Falcon 9,Space Launch Complex 40,True
283,2023-10-29T09:00:00Z,Falcon 9,Space Launch Complex 4E,True
284,2023-10-30T23:20:30Z,Falcon 9,Space Launch Complex 40,True
285,2023-11-04T00:37:20Z,Falcon 9,Space Launch Complex 40,True
286,2023-11-08T05:05:30Z,Falcon 9,Space Launch Complex 40,True
287,2023-11-10T01:28:14Z,Falcon 9,Launch Complex 39A,True
288,2023-11-11T18:49:00Z,Falcon 9,Space Launch Complex 4E,True
289,2023-11-12T21:08:00Z,Falcon 9,Space Launch Complex 40,True
290,2023-11-18T05:05:50Z,Falcon 9,Space Launch Complex 40,True
291,2023-11-18T13:02:50Z,Starship,Orbital Launch Pad 1,False
292,2023-11-20T10:30:40Z,Falcon 9,Space Launch Complex 4E,True
293,2023-11-22T07:47:40Z,Falcon 9,Space Launch Complex 40,True
294,2023-11-28T04:20:00Z,Falcon 9,Space Launch Complex 40,True
295,2023-12-01T18:19:00Z,Falcon 9,Space Launch Complex 4E,True
296,2023-12-03T04:00:50Z,Falcon 9,Space Launch Complex 40,True
297,2023-12-07T05:07:30Z,Falcon 9,Space Launch Complex 40,True
298,2023-12-08T08:03:40Z,Falcon 9,Space Launch Complex 4E,True
299,2023-12-19T04:01:00Z,Falcon 9,Space Launch Complex 40,True
300,2023-12-23T05:33:00Z,Falcon 9,Space Launch Complex 40,True
301,2023-12-24T13:11:00Z,Falcon 9,Space Launch Complex 4E,True
302,2023-12-29T01:07:00Z,Falcon Heavy,Launch Complex 39A,True
303,2023-12-29T04:01:40Z,Falcon 9,Space Launch Complex 40,True
304,2024-01-03T03:44:20Z,Falcon 9,Space Launch Complex 4E,True
305,2024-01-03T23:04:00Z,Falcon 9,Space Launch Complex 40,True
306,2024-01-07T22:35:40Z,Falcon 9,Space Launch Complex 40,True
307,2024-01-14T08:59:30Z,Falcon 9,Space Launch Complex 4E,True
308,2024-01-15T01:52:00Z,Falcon 9,Space Launch Complex 40,True
309,2024-01-18T21:49:11Z,Falcon 9,Launch Complex 39A,True
310,2024-01-24T00:35:00Z,Falcon 9,Space Launch Complex 4E,True
311,2024-01-29T01:10:00Z,Falcon 9,Launch Complex 39A,True
312,2024-01-29T05:57:20Z,Falcon 9,Space Launch Complex 4E,True
313,2024-01-30T17:07:21Z,Falcon 9,Space Launch Complex 40,True
314,2024-02-08T06:33:36Z,Falcon 9,Space Launch Complex 40,True
315,2024-02-10T00:34:00Z,Falcon 9,Space Launch Complex 4E,True
316,2024-02-14T22:30:00Z,Falcon 9,Space Launch Complex 40,True
317,2024-02-15T06:05:37Z,Falcon 9,Launch Complex 39A,True
